TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	23/02/09
TIME	12:44:17
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-560, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	900.0000
LASTX	250.0000
NPOINTS	651
FIRSTY	0.00110
MAXY	5.05331
MINY	-0.00114
XYDATA
900.0000	0.0011
899.0000	0.0013
898.0000	8.3E-04
897.0000	0.00133
896.0000	9.8E-04
895.0000	0.00126
894.0000	2.99999E-05
893.0000	-4.3E-04
892.0000	7.4E-04
891.0000	-9.99999E-05
890.0000	-0.00114
889.0000	1.2E-04
888.0000	0.00148
887.0000	0.00249
886.0000	0.00221
885.0000	0.00328
884.0000	0.00282
883.0000	0.00276
882.0000	0.00301
881.0000	0.00161
880.0000	0.00114
879.0000	0.00145
878.0000	0.00198
877.0000	0.00233
876.0000	0.00205
875.0000	0.00226
874.0000	0.00198
873.0000	0.00216
872.0000	0.00185
871.0000	0.00129
870.0000	0.00157
869.0000	5.8E-04
868.0000	7.4E-04
867.0000	8.2E-04
866.0000	9.4E-04
865.0000	0.00112
864.0000	6.5E-04
863.0000	8.6E-04
862.0000	5.9E-04
861.0000	4.4E-04
860.0000	4.7E-04
859.0000	4.8E-04
858.0000	3.5E-04
857.0000	7.8E-04
856.0000	5.6E-04
855.0000	5.4E-04
854.0000	8.2E-04
853.0000	4.2E-04
852.0000	2.8E-04
851.0000	1.00004E-05
850.0000	2.2E-04
849.0000	4.4E-04
848.0000	4.6E-04
847.0000	5.2E-04
846.0000	8.1E-04
845.0000	9.7E-04
844.0000	5.7E-04
843.0000	6E-04
842.0000	5.5E-04
841.0000	6.2E-04
840.0000	5.9E-04
839.0000	7.9E-04
838.0000	9.6E-04
837.0000	9.59999E-04
836.0000	0.00101
835.0000	9.9E-04
834.0000	0.00107
833.0000	7.20001E-04
832.0000	7.09999E-04
831.0000	6.70001E-04
830.0000	7E-04
829.0000	9.6E-04
828.0000	8.6E-04
827.0000	0.00107
826.0000	0.00123
825.0000	0.00126
824.0000	0.00121
823.0000	0.00111
822.0000	0.00125
821.0000	1E-03
820.0000	0.00106
819.0000	9.30001E-04
818.0000	0.00111
817.0000	0.00122
816.0000	0.00113
815.0000	0.00122
814.0000	0.00136
813.0000	0.00141
812.0000	0.00129
811.0000	0.0013
810.0000	0.00143
809.0000	0.00163
808.0000	0.00153
807.0000	0.00151
806.0000	0.00174
805.0000	0.00186
804.0000	0.00168
803.0000	0.00164
802.0000	0.00159
801.0000	0.00166
800.0000	0.0017
799.0000	0.00164
798.0000	0.00179
797.0000	0.00185
796.0000	0.00189
795.0000	0.00193
794.0000	0.00201
793.0000	0.00194
792.0000	0.00201
791.0000	0.00198
790.0000	0.00194
789.0000	0.00211
788.0000	0.00206
787.0000	0.00207
786.0000	0.00207
785.0000	0.00206
784.0000	0.00212
783.0000	0.00206
782.0000	0.0022
781.0000	0.00218
780.0000	0.0022
779.0000	0.00229
778.0000	0.00235
777.0000	0.00217
776.0000	0.00212
775.0000	0.00204
774.0000	0.002
773.0000	0.00207
772.0000	0.00203
771.0000	0.00212
770.0000	0.00226
769.0000	0.00228
768.0000	0.00231
767.0000	0.00217
766.0000	0.00224
765.0000	0.00221
764.0000	0.00203
763.0000	0.00204
762.0000	0.00216
761.0000	0.00226
760.0000	0.00245
759.0000	0.00239
758.0000	0.00236
757.0000	0.00239
756.0000	0.00247
755.0000	0.00252
754.0000	0.00259
753.0000	0.00265
752.0000	0.00278
751.0000	0.00305
750.0000	0.00342
749.0000	0.00369
748.0000	0.00389
747.0000	0.00394
746.0000	0.00412
745.0000	0.00435
744.0000	0.00439
743.0000	0.00439
742.0000	0.0045
741.0000	0.00467
740.0000	0.00486
739.0000	0.00479
738.0000	0.00474
737.0000	0.0047
736.0000	0.00471
735.0000	0.00469
734.0000	0.00483
733.0000	0.00492
732.0000	0.00523
731.0000	0.00538
730.0000	0.00559
729.0000	0.0057
728.0000	0.00577
727.0000	0.00587
726.0000	0.00601
725.0000	0.00599
724.0000	0.00615
723.0000	0.00624
